No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
608,WISEA J133741.89+511356.2,13h37m41.8928s,+51d13m56.236s,204.4245536,51.2322878,G,18563.748584276,0.061922,SLS,1,0,16,5,2,0,0,0,0,0
609,WISEA J120059.47+521435.3,12h00m59.4707s,+52d14m35.351s,180.2477948,52.2431533,G,34900.6867573213,0.11641616,SLS,18,0,66,8,5,10,1,0,1,1
610,WISEA J121314.49+503711.1,12h13m14.4938s,+50d37m11.127s,183.3103909,50.6197576,G,28487.9581969248,0.0950256,SLS,14,0,70,8,3,10,0,0,1,1
611,WISEA J122147.60+511537.5,12h21m47.6088s,+51d15m37.548s,185.44837,51.26043,G,7152.03115186246,0.023856608,SLS,11,0,36,8,5,4,0,0,0,1
612,WISEA J123249.94+503602.7,12h32m49.9418s,+50d36m02.702s,188.208091,50.6007507,G,9120.585949734,0.030423,SLS,1,0,31,4,1,4,0,0,0,0
613,WISEA J131502.31+554455.3,13h15m02.3119s,+55d44m55.343s,198.7596329,55.7487066,G,33073.3288109035,0.11032075,SLS,16,0,62,8,6,10,0,0,1,1
614,WISEA J131921.97+505006.8,13h19m21.9736s,+50d50m06.886s,199.8415568,50.8352462,G,41202.5220875036,0.13743682,SLS,12,0,55,8,4,8,0,0,0,1
615,WISEA J132808.25+521637.4,13h28m08.2532s,+52d16m37.452s,202.0343887,52.2770702,G,60786.2305682363,0.20276104,SLS,8,0,66,9,6,10,0,0,1,1
616,WISEA J115316.77+511508.2,11h53m16.7726s,+51d15m08.245s,178.3198862,51.2522904,G,23656.6723265356,0.078910165,SLS,9,0,51,6,4,8,0,0,0,1
617,WISEA J120049.37+512424.2,12h00m49.3775s,+51d24m24.280s,180.2057399,51.4067446,G,19549.765978638,0.065211,SLS,5,0,31,6,2,2,0,0,1,0
618,WISEA J120715.15+511946.6,12h07m15.1585s,+51d19m46.651s,181.8131608,51.3296254,G,27774.0594187648,0.09264429,SLS,13,0,52,7,5,8,0,0,0,1
619,WISEA J133454.56+553746.7,13h34m54.5617s,+55d37m46.724s,203.7273407,55.6296456,G,20058.6082144883,0.066908315,SLS,13,0,54,7,4,8,0,0,0,1
620,WISEA J122841.02+503348.7,12h28m41.0283s,+50d33m48.705s,187.1709515,50.5635294,G,29322.70031698,0.09781,SLS,1,0,31,4,1,4,0,0,0,0
621,SDSS J123053.06+513155.2,12h30m53.0659s,+51d31m55.288s,187.7211082615,51.5320246389,G,0.0,0.0,SLS,1,0,5,2,1,4,0,0,0,0
622,WISEA J121302.76+552733.3,12h13m02.7607s,+55d27m33.346s,183.261503,55.459263,G,31929.4107289129,0.10650505,SLS,15,0,57,8,5,8,0,0,0,1
623,WISEA J124335.15+522127.1,12h43m35.2643s,+52d21m28.323s,190.8969349691,52.3578677462,G,5708.647985236,0.019042,SLS,1,0,21,4,1,4,0,0,0,0
